setup,indicator,nobj,problem,nvar,value
fronts,hv,2,DTLZ2,30,120.214263891565
fronts,hv,2,DTLZ2,40,120.21426013926902
fronts,hv,2,DTLZ2,50,120.214234158764
fronts,hv,2,DTLZ4,30,120.21433408959999
fronts,hv,2,DTLZ4,40,120.214193438733
fronts,hv,2,DTLZ4,50,120.214304069916
fronts,hv,2,DTLZ5,30,120.214263891565
fronts,hv,2,DTLZ5,40,120.21426013926902
fronts,hv,2,DTLZ5,50,120.214234158764
fronts,hv,2,DTLZ6,30,120.214214478603
fronts,hv,2,DTLZ6,40,120.214130835292
fronts,hv,2,DTLZ6,50,120.214124584791
fronts,hv,2,DTLZ7,30,94.65835979624399
fronts,hv,2,DTLZ7,40,94.65834384708859
fronts,hv,2,DTLZ7,50,94.65836376829901
fronts,hv,2,WFG1,30,118.10272954549801
fronts,hv,2,WFG1,40,118.082372283549
fronts,hv,2,WFG1,50,118.02260838877501
fronts,hv,2,WFG2,30,117.46676256925501
fronts,hv,2,WFG2,40,117.455223826172
fronts,hv,2,WFG2,50,117.42172282570499
fronts,hv,2,WFG3,30,116.99402177514601
fronts,hv,2,WFG3,40,116.98940605773998
fronts,hv,2,WFG3,50,116.98282228034799
fronts,hv,2,WFG4,30,114.678221456638
fronts,hv,2,WFG4,40,114.65706034750099
fronts,hv,2,WFG4,50,114.63028519810499
fronts,hv,2,WFG5,30,113.954597100867
fronts,hv,2,WFG5,40,113.34285696414301
fronts,hv,2,WFG5,50,112.997787066192
fronts,hv,2,WFG6,30,114.366049697101
fronts,hv,2,WFG6,40,114.435327515736
fronts,hv,2,WFG6,50,114.49205075533001
fronts,hv,2,WFG7,30,114.714762320843
fronts,hv,2,WFG7,40,114.714402334095
fronts,hv,2,WFG7,50,114.713694206423
fronts,hv,2,WFG8,30,112.47147336091801
fronts,hv,2,WFG8,40,112.11781976033001
fronts,hv,2,WFG8,50,111.80841115413
fronts,hv,2,WFG9,30,112.425248706126
fronts,hv,2,WFG9,40,112.069575619373
fronts,hv,2,WFG9,50,112.67222566778999
fronts,hv,3,DTLZ2,30,1330.45401272242
fronts,hv,3,DTLZ2,40,1330.45388597036
fronts,hv,3,DTLZ2,50,1330.4538078840899
fronts,hv,3,DTLZ4,30,1330.45217870095
fronts,hv,3,DTLZ4,40,1330.44718091578
fronts,hv,3,DTLZ4,50,1330.44520195925
fronts,hv,3,DTLZ5,30,1319.10464563598
fronts,hv,3,DTLZ5,40,1319.1046454594
fronts,hv,3,DTLZ5,50,1319.10391782381
fronts,hv,3,DTLZ6,30,1319.07509749447
fronts,hv,3,DTLZ6,40,1319.07785402125
fronts,hv,3,DTLZ6,50,1319.04303125363
fronts,hv,3,DTLZ7,30,993.3374187850801
fronts,hv,3,DTLZ7,40,993.32342006251
fronts,hv,3,DTLZ7,50,993.3349005658199
fronts,hv,3,WFG1,30,1328.2846563771
fronts,hv,3,WFG1,40,1328.0496796015
fronts,hv,3,WFG1,50,1323.95813686547
fronts,hv,3,WFG2,30,1327.3858851134698
fronts,hv,3,WFG2,40,1325.23867364648
fronts,hv,3,WFG2,50,1324.0871361372301
fronts,hv,3,WFG3,30,1243.88157396507
fronts,hv,3,WFG3,40,1243.67061767551
fronts,hv,3,WFG3,50,1242.6562479378301
fronts,hv,3,WFG4,30,1304.47949007476
fronts,hv,3,WFG4,40,1304.03801664969
fronts,hv,3,WFG4,50,1303.35544430965
fronts,hv,3,WFG5,30,1286.7447364238699
fronts,hv,3,WFG5,40,1286.31565477035
fronts,hv,3,WFG5,50,1286.2261672703698
fronts,hv,3,WFG6,30,1296.87216806393
fronts,hv,3,WFG6,40,1297.4991469961901
fronts,hv,3,WFG6,50,1299.62363646881
fronts,hv,3,WFG7,30,1304.58482905584
fronts,hv,3,WFG7,40,1304.5646103859401
fronts,hv,3,WFG7,50,1304.58403997925
fronts,hv,3,WFG8,30,1290.28298793137
fronts,hv,3,WFG8,40,1288.6808844173
fronts,hv,3,WFG8,50,1287.31323464393
